"numberOfPrivateMethods","fanOut","cbo","numberOfLinesOfCode","rfc","directory","k"
0,2,2,8,4,"mylyn","single-version-ck-oo.csv"
0,0,2,17,8,"mylyn","single-version-ck-oo.csv"
5,10,12,123,54,"mylyn","single-version-ck-oo.csv"
0,2,3,47,16,"mylyn","single-version-ck-oo.csv"
0,7,8,62,32,"mylyn","single-version-ck-oo.csv"
0,5,5,27,11,"mylyn","single-version-ck-oo.csv"
0,1,1,12,6,"mylyn","single-version-ck-oo.csv"
0,0,1,22,10,"mylyn","single-version-ck-oo.csv"
0,2,3,14,11,"mylyn","single-version-ck-oo.csv"
0,10,10,55,36,"mylyn","single-version-ck-oo.csv"
0,2,2,6,4,"mylyn","single-version-ck-oo.csv"
0,2,2,13,5,"mylyn","single-version-ck-oo.csv"
0,4,4,21,13,"mylyn","single-version-ck-oo.csv"
0,5,5,12,7,"mylyn","single-version-ck-oo.csv"
0,1,1,38,10,"mylyn","single-version-ck-oo.csv"
0,0,1,15,7,"mylyn","single-version-ck-oo.csv"
4,9,32,209,92,"mylyn","single-version-ck-oo.csv"
0,2,4,55,33,"mylyn","single-version-ck-oo.csv"
0,14,31,257,107,"mylyn","single-version-ck-oo.csv"
0,2,3,27,11,"mylyn","single-version-ck-oo.csv"
1,3,4,36,18,"mylyn","single-version-ck-oo.csv"
0,0,6,50,28,"mylyn","single-version-ck-oo.csv"
0,1,2,28,12,"mylyn","single-version-ck-oo.csv"
0,3,3,24,10,"mylyn","single-version-ck-oo.csv"
4,18,20,291,73,"mylyn","single-version-ck-oo.csv"
11,6,12,326,108,"mylyn","single-version-ck-oo.csv"
0,5,6,49,30,"mylyn","single-version-ck-oo.csv"
0,0,1,18,7,"mylyn","single-version-ck-oo.csv"
0,4,5,18,9,"mylyn","single-version-ck-oo.csv"
0,4,4,41,13,"mylyn","single-version-ck-oo.csv"
0,2,3,34,23,"mylyn","single-version-ck-oo.csv"
0,3,4,35,25,"mylyn","single-version-ck-oo.csv"
1,0,2,65,23,"mylyn","single-version-ck-oo.csv"
1,3,8,31,18,"mylyn","single-version-ck-oo.csv"
5,13,14,565,172,"mylyn","single-version-ck-oo.csv"
0,0,2,0,2,"mylyn","single-version-ck-oo.csv"
0,1,2,12,10,"mylyn","single-version-ck-oo.csv"
0,3,5,51,22,"mylyn","single-version-ck-oo.csv"
0,0,2,19,6,"mylyn","single-version-ck-oo.csv"
0,1,5,14,5,"mylyn","single-version-ck-oo.csv"
0,0,0,28,3,"mylyn","single-version-ck-oo.csv"
0,1,1,3,2,"mylyn","single-version-ck-oo.csv"
0,2,3,71,30,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,0,1,12,5,"mylyn","single-version-ck-oo.csv"
1,2,2,41,14,"mylyn","single-version-ck-oo.csv"
0,3,3,41,18,"mylyn","single-version-ck-oo.csv"
0,6,6,82,42,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
1,10,10,48,29,"mylyn","single-version-ck-oo.csv"
4,11,13,142,57,"mylyn","single-version-ck-oo.csv"
0,1,2,212,83,"mylyn","single-version-ck-oo.csv"
0,1,3,25,8,"mylyn","single-version-ck-oo.csv"
1,11,13,127,51,"mylyn","single-version-ck-oo.csv"
3,2,3,134,29,"mylyn","single-version-ck-oo.csv"
1,2,2,9,5,"mylyn","single-version-ck-oo.csv"
0,3,3,13,8,"mylyn","single-version-ck-oo.csv"
2,3,3,127,83,"mylyn","single-version-ck-oo.csv"
0,0,2,11,5,"mylyn","single-version-ck-oo.csv"
0,8,8,33,23,"mylyn","single-version-ck-oo.csv"
0,1,6,11,5,"mylyn","single-version-ck-oo.csv"
0,9,9,55,26,"mylyn","single-version-ck-oo.csv"
0,6,7,37,20,"mylyn","single-version-ck-oo.csv"
0,1,1,20,7,"mylyn","single-version-ck-oo.csv"
0,4,9,106,68,"mylyn","single-version-ck-oo.csv"
1,2,3,64,42,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
15,35,47,822,354,"mylyn","single-version-ck-oo.csv"
0,0,1,9,5,"mylyn","single-version-ck-oo.csv"
8,9,10,345,119,"mylyn","single-version-ck-oo.csv"
0,1,1,38,10,"mylyn","single-version-ck-oo.csv"
0,0,3,62,21,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,1,9,5,"mylyn","single-version-ck-oo.csv"
6,21,24,322,136,"mylyn","single-version-ck-oo.csv"
2,7,11,107,43,"mylyn","single-version-ck-oo.csv"
0,1,8,13,6,"mylyn","single-version-ck-oo.csv"
0,9,43,96,56,"mylyn","single-version-ck-oo.csv"
0,0,1,22,9,"mylyn","single-version-ck-oo.csv"
4,9,10,106,60,"mylyn","single-version-ck-oo.csv"
1,5,6,41,18,"mylyn","single-version-ck-oo.csv"
0,2,3,12,6,"mylyn","single-version-ck-oo.csv"
0,3,3,22,10,"mylyn","single-version-ck-oo.csv"
4,12,29,273,135,"mylyn","single-version-ck-oo.csv"
1,5,6,33,22,"mylyn","single-version-ck-oo.csv"
0,0,0,43,10,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,2,5,38,11,"mylyn","single-version-ck-oo.csv"
1,5,8,130,48,"mylyn","single-version-ck-oo.csv"
0,1,2,45,8,"mylyn","single-version-ck-oo.csv"
0,0,3,21,7,"mylyn","single-version-ck-oo.csv"
0,1,1,28,10,"mylyn","single-version-ck-oo.csv"
4,3,5,130,45,"mylyn","single-version-ck-oo.csv"
0,5,6,19,18,"mylyn","single-version-ck-oo.csv"
8,20,101,519,321,"mylyn","single-version-ck-oo.csv"
0,4,5,74,16,"mylyn","single-version-ck-oo.csv"
0,3,4,22,11,"mylyn","single-version-ck-oo.csv"
0,0,1,0,3,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
0,14,17,132,84,"mylyn","single-version-ck-oo.csv"
2,8,9,95,40,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,6,27,17,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,1,1,3,2,"mylyn","single-version-ck-oo.csv"
0,2,3,31,10,"mylyn","single-version-ck-oo.csv"
3,10,38,218,124,"mylyn","single-version-ck-oo.csv"
0,9,10,21,14,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,5,6,47,22,"mylyn","single-version-ck-oo.csv"
0,0,1,0,5,"mylyn","single-version-ck-oo.csv"
0,3,4,57,20,"mylyn","single-version-ck-oo.csv"
0,7,7,79,36,"mylyn","single-version-ck-oo.csv"
0,0,52,9,14,"mylyn","single-version-ck-oo.csv"
1,9,10,126,53,"mylyn","single-version-ck-oo.csv"
0,2,2,12,7,"mylyn","single-version-ck-oo.csv"
0,0,0,17,3,"mylyn","single-version-ck-oo.csv"
3,16,17,108,71,"mylyn","single-version-ck-oo.csv"
0,0,1,11,6,"mylyn","single-version-ck-oo.csv"
0,0,1,3,2,"mylyn","single-version-ck-oo.csv"
4,10,11,199,124,"mylyn","single-version-ck-oo.csv"
1,5,5,31,21,"mylyn","single-version-ck-oo.csv"
0,5,6,29,13,"mylyn","single-version-ck-oo.csv"
2,5,6,206,145,"mylyn","single-version-ck-oo.csv"
1,2,2,67,20,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,2,2,27,15,"mylyn","single-version-ck-oo.csv"
0,3,14,74,33,"mylyn","single-version-ck-oo.csv"
0,2,2,19,12,"mylyn","single-version-ck-oo.csv"
0,6,6,75,27,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,2,2,92,40,"mylyn","single-version-ck-oo.csv"
3,11,12,114,63,"mylyn","single-version-ck-oo.csv"
2,9,107,202,99,"mylyn","single-version-ck-oo.csv"
1,1,1,53,22,"mylyn","single-version-ck-oo.csv"
0,4,5,50,36,"mylyn","single-version-ck-oo.csv"
0,0,14,43,17,"mylyn","single-version-ck-oo.csv"
0,5,5,46,22,"mylyn","single-version-ck-oo.csv"
1,4,5,89,47,"mylyn","single-version-ck-oo.csv"
0,13,14,101,41,"mylyn","single-version-ck-oo.csv"
0,2,4,34,13,"mylyn","single-version-ck-oo.csv"
2,7,8,192,51,"mylyn","single-version-ck-oo.csv"
0,0,0,6,3,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,1,2,14,8,"mylyn","single-version-ck-oo.csv"
0,2,3,107,59,"mylyn","single-version-ck-oo.csv"
7,9,12,272,91,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,0,3,15,5,"mylyn","single-version-ck-oo.csv"
0,1,1,13,6,"mylyn","single-version-ck-oo.csv"
0,2,4,81,34,"mylyn","single-version-ck-oo.csv"
0,2,4,3,3,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,9,21,107,54,"mylyn","single-version-ck-oo.csv"
0,0,4,20,6,"mylyn","single-version-ck-oo.csv"
0,0,8,29,9,"mylyn","single-version-ck-oo.csv"
1,6,6,49,20,"mylyn","single-version-ck-oo.csv"
0,6,18,169,82,"mylyn","single-version-ck-oo.csv"
0,0,1,17,12,"mylyn","single-version-ck-oo.csv"
0,1,2,11,6,"mylyn","single-version-ck-oo.csv"
2,8,9,103,47,"mylyn","single-version-ck-oo.csv"
5,8,8,335,135,"mylyn","single-version-ck-oo.csv"
1,6,7,107,41,"mylyn","single-version-ck-oo.csv"
0,14,40,365,126,"mylyn","single-version-ck-oo.csv"
0,4,5,126,61,"mylyn","single-version-ck-oo.csv"
0,6,7,35,15,"mylyn","single-version-ck-oo.csv"
1,5,8,77,13,"mylyn","single-version-ck-oo.csv"
3,3,12,59,27,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,14,18,100,44,"mylyn","single-version-ck-oo.csv"
0,7,8,50,21,"mylyn","single-version-ck-oo.csv"
0,5,8,30,12,"mylyn","single-version-ck-oo.csv"
2,1,2,27,11,"mylyn","single-version-ck-oo.csv"
1,3,4,27,16,"mylyn","single-version-ck-oo.csv"
0,1,1,51,32,"mylyn","single-version-ck-oo.csv"
0,3,3,11,8,"mylyn","single-version-ck-oo.csv"
0,6,8,60,31,"mylyn","single-version-ck-oo.csv"
0,2,4,35,21,"mylyn","single-version-ck-oo.csv"
10,28,30,728,233,"mylyn","single-version-ck-oo.csv"
0,2,2,18,9,"mylyn","single-version-ck-oo.csv"
3,23,24,431,109,"mylyn","single-version-ck-oo.csv"
0,1,1,8,2,"mylyn","single-version-ck-oo.csv"
0,4,5,23,15,"mylyn","single-version-ck-oo.csv"
0,1,2,4,5,"mylyn","single-version-ck-oo.csv"
0,2,6,62,23,"mylyn","single-version-ck-oo.csv"
1,6,7,61,30,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,11,11,98,37,"mylyn","single-version-ck-oo.csv"
0,5,5,37,12,"mylyn","single-version-ck-oo.csv"
0,1,12,57,18,"mylyn","single-version-ck-oo.csv"
10,15,20,377,87,"mylyn","single-version-ck-oo.csv"
0,0,2,22,3,"mylyn","single-version-ck-oo.csv"
0,4,7,22,12,"mylyn","single-version-ck-oo.csv"
0,8,10,42,27,"mylyn","single-version-ck-oo.csv"
0,10,11,63,39,"mylyn","single-version-ck-oo.csv"
0,2,3,10,7,"mylyn","single-version-ck-oo.csv"
0,2,4,33,12,"mylyn","single-version-ck-oo.csv"
0,0,1,10,3,"mylyn","single-version-ck-oo.csv"
0,0,6,23,8,"mylyn","single-version-ck-oo.csv"
0,3,9,65,42,"mylyn","single-version-ck-oo.csv"
2,5,5,60,27,"mylyn","single-version-ck-oo.csv"
0,3,5,27,11,"mylyn","single-version-ck-oo.csv"
1,4,4,95,42,"mylyn","single-version-ck-oo.csv"
0,1,14,14,9,"mylyn","single-version-ck-oo.csv"
1,3,3,35,13,"mylyn","single-version-ck-oo.csv"
0,4,4,197,38,"mylyn","single-version-ck-oo.csv"
0,1,1,10,4,"mylyn","single-version-ck-oo.csv"
5,9,12,214,70,"mylyn","single-version-ck-oo.csv"
0,0,3,18,7,"mylyn","single-version-ck-oo.csv"
0,4,6,43,22,"mylyn","single-version-ck-oo.csv"
2,10,15,55,26,"mylyn","single-version-ck-oo.csv"
2,13,15,101,62,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
3,3,12,102,44,"mylyn","single-version-ck-oo.csv"
0,0,2,3,3,"mylyn","single-version-ck-oo.csv"
0,0,2,14,7,"mylyn","single-version-ck-oo.csv"
1,14,15,119,67,"mylyn","single-version-ck-oo.csv"
3,13,23,117,49,"mylyn","single-version-ck-oo.csv"
0,3,4,22,12,"mylyn","single-version-ck-oo.csv"
0,1,2,22,5,"mylyn","single-version-ck-oo.csv"
0,0,0,15,8,"mylyn","single-version-ck-oo.csv"
0,5,6,31,18,"mylyn","single-version-ck-oo.csv"
2,13,13,64,42,"mylyn","single-version-ck-oo.csv"
0,2,6,59,27,"mylyn","single-version-ck-oo.csv"
0,0,2,9,3,"mylyn","single-version-ck-oo.csv"
1,0,0,2,1,"mylyn","single-version-ck-oo.csv"
1,11,13,104,39,"mylyn","single-version-ck-oo.csv"
1,4,5,27,18,"mylyn","single-version-ck-oo.csv"
0,5,7,76,29,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
1,20,23,263,164,"mylyn","single-version-ck-oo.csv"
1,3,7,44,20,"mylyn","single-version-ck-oo.csv"
1,1,6,15,7,"mylyn","single-version-ck-oo.csv"
0,6,7,58,40,"mylyn","single-version-ck-oo.csv"
8,5,6,199,54,"mylyn","single-version-ck-oo.csv"
0,1,2,19,9,"mylyn","single-version-ck-oo.csv"
1,1,1,9,3,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,1,1,16,6,"mylyn","single-version-ck-oo.csv"
0,0,0,18,6,"mylyn","single-version-ck-oo.csv"
18,5,7,388,174,"mylyn","single-version-ck-oo.csv"
0,14,21,80,42,"mylyn","single-version-ck-oo.csv"
0,0,3,0,1,"mylyn","single-version-ck-oo.csv"
0,2,3,28,9,"mylyn","single-version-ck-oo.csv"
16,17,20,568,226,"mylyn","single-version-ck-oo.csv"
0,2,2,19,12,"mylyn","single-version-ck-oo.csv"
0,3,4,23,20,"mylyn","single-version-ck-oo.csv"
1,2,4,12,10,"mylyn","single-version-ck-oo.csv"
2,3,4,77,32,"mylyn","single-version-ck-oo.csv"
2,2,3,120,15,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,3,3,19,12,"mylyn","single-version-ck-oo.csv"
0,3,3,101,42,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,7,12,63,52,"mylyn","single-version-ck-oo.csv"
0,2,4,35,15,"mylyn","single-version-ck-oo.csv"
1,12,72,191,102,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
4,1,2,54,18,"mylyn","single-version-ck-oo.csv"
3,13,13,128,74,"mylyn","single-version-ck-oo.csv"
1,5,7,57,42,"mylyn","single-version-ck-oo.csv"
0,2,9,31,11,"mylyn","single-version-ck-oo.csv"
0,1,2,36,17,"mylyn","single-version-ck-oo.csv"
0,1,3,9,4,"mylyn","single-version-ck-oo.csv"
5,5,5,217,108,"mylyn","single-version-ck-oo.csv"
2,1,2,68,21,"mylyn","single-version-ck-oo.csv"
2,12,20,76,50,"mylyn","single-version-ck-oo.csv"
3,11,11,133,44,"mylyn","single-version-ck-oo.csv"
0,5,8,115,55,"mylyn","single-version-ck-oo.csv"
0,2,2,13,6,"mylyn","single-version-ck-oo.csv"
0,2,3,42,20,"mylyn","single-version-ck-oo.csv"
0,26,37,134,53,"mylyn","single-version-ck-oo.csv"
9,10,28,299,249,"mylyn","single-version-ck-oo.csv"
4,10,12,184,75,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,0,1,15,3,"mylyn","single-version-ck-oo.csv"
0,0,0,12,7,"mylyn","single-version-ck-oo.csv"
0,0,8,30,11,"mylyn","single-version-ck-oo.csv"
4,13,13,92,55,"mylyn","single-version-ck-oo.csv"
0,2,5,38,20,"mylyn","single-version-ck-oo.csv"
0,18,18,110,106,"mylyn","single-version-ck-oo.csv"
3,3,3,34,19,"mylyn","single-version-ck-oo.csv"
3,6,6,62,22,"mylyn","single-version-ck-oo.csv"
2,7,10,68,34,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
0,0,9,87,23,"mylyn","single-version-ck-oo.csv"
12,42,60,1550,902,"mylyn","single-version-ck-oo.csv"
0,0,6,3,8,"mylyn","single-version-ck-oo.csv"
0,8,11,58,32,"mylyn","single-version-ck-oo.csv"
0,3,4,19,9,"mylyn","single-version-ck-oo.csv"
5,2,5,124,38,"mylyn","single-version-ck-oo.csv"
0,4,20,73,35,"mylyn","single-version-ck-oo.csv"
0,0,1,0,2,"mylyn","single-version-ck-oo.csv"
0,3,6,115,30,"mylyn","single-version-ck-oo.csv"
0,4,32,71,34,"mylyn","single-version-ck-oo.csv"
0,0,35,39,15,"mylyn","single-version-ck-oo.csv"
2,15,15,87,63,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,13,12,7,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,5,6,105,27,"mylyn","single-version-ck-oo.csv"
14,16,19,484,166,"mylyn","single-version-ck-oo.csv"
0,1,1,15,9,"mylyn","single-version-ck-oo.csv"
2,9,10,196,44,"mylyn","single-version-ck-oo.csv"
0,0,6,9,3,"mylyn","single-version-ck-oo.csv"
6,20,33,248,164,"mylyn","single-version-ck-oo.csv"
1,7,9,119,70,"mylyn","single-version-ck-oo.csv"
0,0,0,13,6,"mylyn","single-version-ck-oo.csv"
0,0,2,6,3,"mylyn","single-version-ck-oo.csv"
0,0,8,14,6,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,13,17,121,52,"mylyn","single-version-ck-oo.csv"
1,14,16,50,27,"mylyn","single-version-ck-oo.csv"
0,2,3,9,5,"mylyn","single-version-ck-oo.csv"
0,9,10,115,28,"mylyn","single-version-ck-oo.csv"
0,0,9,62,31,"mylyn","single-version-ck-oo.csv"
0,1,13,36,36,"mylyn","single-version-ck-oo.csv"
0,10,11,122,36,"mylyn","single-version-ck-oo.csv"
0,1,2,100,8,"mylyn","single-version-ck-oo.csv"
0,2,3,34,21,"mylyn","single-version-ck-oo.csv"
0,1,8,109,7,"mylyn","single-version-ck-oo.csv"
0,1,2,23,10,"mylyn","single-version-ck-oo.csv"
0,5,5,78,46,"mylyn","single-version-ck-oo.csv"
0,1,2,44,7,"mylyn","single-version-ck-oo.csv"
0,0,4,21,6,"mylyn","single-version-ck-oo.csv"
0,0,3,11,3,"mylyn","single-version-ck-oo.csv"
1,1,5,95,31,"mylyn","single-version-ck-oo.csv"
0,2,4,9,5,"mylyn","single-version-ck-oo.csv"
2,17,18,134,67,"mylyn","single-version-ck-oo.csv"
0,1,4,16,7,"mylyn","single-version-ck-oo.csv"
4,17,19,398,180,"mylyn","single-version-ck-oo.csv"
1,19,39,233,160,"mylyn","single-version-ck-oo.csv"
0,5,14,54,24,"mylyn","single-version-ck-oo.csv"
0,7,19,93,54,"mylyn","single-version-ck-oo.csv"
1,0,1,33,15,"mylyn","single-version-ck-oo.csv"
0,4,6,106,16,"mylyn","single-version-ck-oo.csv"
10,12,13,461,134,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,6,7,29,14,"mylyn","single-version-ck-oo.csv"
3,7,10,208,128,"mylyn","single-version-ck-oo.csv"
0,6,8,80,39,"mylyn","single-version-ck-oo.csv"
24,40,49,3026,727,"mylyn","single-version-ck-oo.csv"
0,1,3,81,29,"mylyn","single-version-ck-oo.csv"
2,2,4,88,32,"mylyn","single-version-ck-oo.csv"
1,4,7,15,13,"mylyn","single-version-ck-oo.csv"
0,4,6,9,10,"mylyn","single-version-ck-oo.csv"
0,0,4,14,4,"mylyn","single-version-ck-oo.csv"
0,10,11,45,28,"mylyn","single-version-ck-oo.csv"
0,3,10,151,92,"mylyn","single-version-ck-oo.csv"
0,2,2,35,13,"mylyn","single-version-ck-oo.csv"
0,3,3,99,34,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
4,23,28,213,125,"mylyn","single-version-ck-oo.csv"
0,2,2,38,9,"mylyn","single-version-ck-oo.csv"
0,2,2,24,12,"mylyn","single-version-ck-oo.csv"
0,2,2,20,6,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,3,3,40,5,"mylyn","single-version-ck-oo.csv"
0,2,3,109,29,"mylyn","single-version-ck-oo.csv"
9,11,15,241,71,"mylyn","single-version-ck-oo.csv"
0,4,5,29,19,"mylyn","single-version-ck-oo.csv"
1,6,15,31,13,"mylyn","single-version-ck-oo.csv"
2,28,30,399,304,"mylyn","single-version-ck-oo.csv"
0,5,9,72,30,"mylyn","single-version-ck-oo.csv"
1,0,1,54,20,"mylyn","single-version-ck-oo.csv"
1,6,6,21,15,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,3,4,16,7,"mylyn","single-version-ck-oo.csv"
0,6,6,31,18,"mylyn","single-version-ck-oo.csv"
1,0,3,121,23,"mylyn","single-version-ck-oo.csv"
8,7,7,452,159,"mylyn","single-version-ck-oo.csv"
0,12,16,61,38,"mylyn","single-version-ck-oo.csv"
0,0,1,27,7,"mylyn","single-version-ck-oo.csv"
0,3,5,31,17,"mylyn","single-version-ck-oo.csv"
0,2,4,21,10,"mylyn","single-version-ck-oo.csv"
0,9,10,50,27,"mylyn","single-version-ck-oo.csv"
0,1,3,34,11,"mylyn","single-version-ck-oo.csv"
0,2,2,46,15,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
4,10,10,157,59,"mylyn","single-version-ck-oo.csv"
8,0,1,329,37,"mylyn","single-version-ck-oo.csv"
0,6,6,65,29,"mylyn","single-version-ck-oo.csv"
0,3,12,45,15,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,3,3,13,8,"mylyn","single-version-ck-oo.csv"
0,0,6,40,12,"mylyn","single-version-ck-oo.csv"
0,8,8,40,23,"mylyn","single-version-ck-oo.csv"
0,0,1,11,5,"mylyn","single-version-ck-oo.csv"
0,2,4,22,10,"mylyn","single-version-ck-oo.csv"
1,0,0,2,1,"mylyn","single-version-ck-oo.csv"
1,0,0,71,13,"mylyn","single-version-ck-oo.csv"
0,1,2,75,8,"mylyn","single-version-ck-oo.csv"
0,3,3,17,11,"mylyn","single-version-ck-oo.csv"
0,1,1,36,17,"mylyn","single-version-ck-oo.csv"
0,5,6,42,18,"mylyn","single-version-ck-oo.csv"
3,6,7,79,41,"mylyn","single-version-ck-oo.csv"
0,2,4,105,15,"mylyn","single-version-ck-oo.csv"
3,7,8,197,104,"mylyn","single-version-ck-oo.csv"
1,0,0,2,1,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,7,7,226,80,"mylyn","single-version-ck-oo.csv"
0,0,3,9,3,"mylyn","single-version-ck-oo.csv"
0,1,1,6,4,"mylyn","single-version-ck-oo.csv"
6,1,2,122,68,"mylyn","single-version-ck-oo.csv"
0,0,0,13,6,"mylyn","single-version-ck-oo.csv"
0,2,6,60,23,"mylyn","single-version-ck-oo.csv"
0,1,3,21,12,"mylyn","single-version-ck-oo.csv"
1,10,10,40,28,"mylyn","single-version-ck-oo.csv"
1,5,5,56,21,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,9,12,99,47,"mylyn","single-version-ck-oo.csv"
3,16,17,324,83,"mylyn","single-version-ck-oo.csv"
0,11,11,48,30,"mylyn","single-version-ck-oo.csv"
0,2,3,35,12,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,1,7,2,"mylyn","single-version-ck-oo.csv"
0,0,1,19,8,"mylyn","single-version-ck-oo.csv"
0,0,2,15,6,"mylyn","single-version-ck-oo.csv"
0,2,2,49,17,"mylyn","single-version-ck-oo.csv"
0,3,4,46,24,"mylyn","single-version-ck-oo.csv"
0,4,5,24,16,"mylyn","single-version-ck-oo.csv"
0,0,1,16,7,"mylyn","single-version-ck-oo.csv"
2,12,12,99,78,"mylyn","single-version-ck-oo.csv"
0,1,4,17,8,"mylyn","single-version-ck-oo.csv"
0,5,7,60,27,"mylyn","single-version-ck-oo.csv"
0,7,11,45,25,"mylyn","single-version-ck-oo.csv"
0,0,7,78,20,"mylyn","single-version-ck-oo.csv"
0,3,9,42,21,"mylyn","single-version-ck-oo.csv"
0,1,1,12,5,"mylyn","single-version-ck-oo.csv"
0,1,1,6,4,"mylyn","single-version-ck-oo.csv"
0,16,69,194,129,"mylyn","single-version-ck-oo.csv"
0,1,1,38,10,"mylyn","single-version-ck-oo.csv"
1,8,9,95,52,"mylyn","single-version-ck-oo.csv"
0,2,2,19,9,"mylyn","single-version-ck-oo.csv"
0,12,12,76,37,"mylyn","single-version-ck-oo.csv"
3,14,19,286,101,"mylyn","single-version-ck-oo.csv"
0,2,4,29,12,"mylyn","single-version-ck-oo.csv"
1,7,9,74,41,"mylyn","single-version-ck-oo.csv"
0,8,17,107,39,"mylyn","single-version-ck-oo.csv"
0,4,5,14,7,"mylyn","single-version-ck-oo.csv"
0,4,4,30,23,"mylyn","single-version-ck-oo.csv"
0,4,4,144,50,"mylyn","single-version-ck-oo.csv"
0,5,6,15,15,"mylyn","single-version-ck-oo.csv"
0,3,4,10,6,"mylyn","single-version-ck-oo.csv"
0,3,6,22,13,"mylyn","single-version-ck-oo.csv"
0,2,2,15,7,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,4,15,5,"mylyn","single-version-ck-oo.csv"
0,1,2,79,25,"mylyn","single-version-ck-oo.csv"
0,0,1,5,2,"mylyn","single-version-ck-oo.csv"
0,0,0,12,6,"mylyn","single-version-ck-oo.csv"
4,4,4,125,55,"mylyn","single-version-ck-oo.csv"
1,1,4,115,28,"mylyn","single-version-ck-oo.csv"
10,9,14,575,104,"mylyn","single-version-ck-oo.csv"
1,5,6,38,18,"mylyn","single-version-ck-oo.csv"
0,0,2,6,2,"mylyn","single-version-ck-oo.csv"
0,0,0,48,14,"mylyn","single-version-ck-oo.csv"
0,0,1,14,8,"mylyn","single-version-ck-oo.csv"
0,10,12,50,24,"mylyn","single-version-ck-oo.csv"
0,0,2,11,4,"mylyn","single-version-ck-oo.csv"
0,2,3,35,18,"mylyn","single-version-ck-oo.csv"
